,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Arsenal,26,26.7,40.1,38,418,"3,420",38,42,27,69,39,3,5,84,1,1.11,0.71,1.82,1.03,1.74
vs Aston Villa,26,26.5,50.6,38,418,"3,420",38,42,25,67,37,5,6,85,3,1.11,0.66,1.76,0.97,1.63
vs Bournemouth,31,26.6,59.9,38,418,"3,420",38,68,49,117,62,6,7,51,0,1.79,1.29,3.08,1.63,2.92
vs Brentford,25,26.6,56.6,38,418,"3,420",38,43,30,73,41,2,2,61,1,1.13,0.79,1.92,1.08,1.87
vs Brighton,29,26.5,39.5,38,418,"3,420",38,47,34,81,41,6,8,92,1,1.24,0.89,2.13,1.08,1.97
vs Chelsea,32,26.6,41,38,418,"3,420",38,44,32,76,43,1,1,69,1,1.16,0.84,2,1.13,1.97
vs Crystal Palace,26,26.6,53.9,38,418,"3,420",38,46,32,78,42,4,4,83,3,1.21,0.84,2.05,1.11,1.95
vs Everton,28,26.5,57.4,38,418,"3,420",38,57,36,93,52,5,6,76,1,1.5,0.95,2.45,1.37,2.32
vs Fulham,29,26.7,51.3,38,418,"3,420",38,51,30,81,44,7,8,57,5,1.34,0.79,2.13,1.16,1.95
vs Leeds United,29,26.7,53.1,38,418,"3,420",38,77,50,127,72,5,6,66,3,2.03,1.32,3.34,1.89,3.21
vs Leicester City,28,26.6,52.4,38,418,"3,420",38,63,46,109,59,4,5,64,2,1.66,1.21,2.87,1.55,2.76
vs Liverpool,28,26.6,38.9,38,418,"3,420",38,45,32,77,43,2,4,59,1,1.18,0.84,2.03,1.13,1.97
vs Manchester City,24,26.6,34.7,38,418,"3,420",38,32,21,53,29,3,3,80,2,0.84,0.55,1.39,0.76,1.32
vs Manchester Utd,26,26.4,46,38,418,"3,420",38,42,28,70,40,2,3,50,0,1.11,0.74,1.84,1.05,1.79
vs Newcastle United,27,26.8,47.6,38,418,"3,420",38,31,23,54,29,2,5,80,2,0.82,0.61,1.42,0.76,1.37
vs Nottingham Forest,33,26.8,62.8,38,418,"3,420",38,68,45,113,62,6,9,65,0,1.79,1.18,2.97,1.63,2.82
vs Southampton,36,26.7,55.6,38,418,"3,420",38,68,55,123,66,2,3,63,2,1.79,1.45,3.24,1.74,3.18
vs Tottenham Hotspur,29,26.7,50.1,38,418,"3,420",38,62,45,107,59,3,4,79,2,1.63,1.18,2.82,1.55,2.74
vs West Ham United,25,26.6,58.2,38,418,"3,420",38,54,42,96,50,4,6,54,0,1.42,1.11,2.53,1.32,2.42
vs Wolves,32,26.4,49.8,38,418,"3,420",38,57,44,101,55,2,4,75,0,1.5,1.16,2.66,1.45,2.61
