,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,26,24.7,59.3,38,418,"3,420",38,84,64,148,81,3,4,51,0,2.21,1.68,3.89,2.13,3.82
Aston Villa,26,27,49.3,38,418,"3,420",38,49,35,84,46,3,4,80,1,1.29,0.92,2.21,1.21,2.13
Bournemouth,31,26.3,40.4,38,418,"3,420",38,37,24,61,37,0,0,68,0,0.97,0.63,1.61,0.97,1.61
Brentford,25,26.2,43.8,38,418,"3,420",38,56,36,92,49,7,8,57,1,1.47,0.95,2.42,1.29,2.24
Brighton,29,26.3,60.2,38,418,"3,420",38,68,46,114,62,6,6,58,0,1.79,1.21,3,1.63,2.84
Chelsea,32,26.3,58.7,38,418,"3,420",38,37,27,64,34,3,3,81,3,0.97,0.71,1.68,0.89,1.61
Crystal Palace,26,26.7,46.3,38,418,"3,420",38,38,29,67,37,1,3,82,3,1,0.76,1.76,0.97,1.74
Everton,28,26.6,42.8,38,418,"3,420",38,32,24,56,29,3,3,81,2,0.84,0.63,1.47,0.76,1.39
Fulham,29,28.2,48.8,38,418,"3,420",38,52,33,85,47,5,9,80,1,1.37,0.87,2.24,1.24,2.11
Leeds United,29,25.3,47,38,418,"3,420",38,45,31,76,44,1,3,89,3,1.18,0.82,2,1.16,1.97
Leicester City,28,26.1,47.7,38,418,"3,420",38,49,36,85,46,3,6,63,2,1.29,0.95,2.24,1.21,2.16
Liverpool,28,27.4,60.8,38,418,"3,420",38,71,58,129,69,2,4,57,1,1.87,1.53,3.39,1.82,3.34
Manchester City,24,27.2,64.7,38,418,"3,420",38,92,69,161,83,9,10,44,1,2.42,1.82,4.24,2.18,4
Manchester Utd,26,26.9,53.7,38,418,"3,420",38,56,42,98,53,3,3,78,2,1.47,1.11,2.58,1.39,2.5
Newcastle United,27,27.3,52.3,38,418,"3,420",38,64,42,106,58,6,6,61,1,1.68,1.11,2.79,1.53,2.63
Nottingham Forest,33,26.5,37.6,38,418,"3,420",38,36,22,58,33,3,6,84,0,0.95,0.58,1.53,0.87,1.45
Southampton,36,24.7,44.5,38,418,"3,420",38,36,25,61,34,2,4,73,0,0.95,0.66,1.61,0.89,1.55
Tottenham Hotspur,29,27.6,50,38,418,"3,420",38,68,46,114,63,5,6,77,3,1.79,1.21,3,1.66,2.87
West Ham United,25,28.2,42.1,38,418,"3,420",38,41,25,66,35,6,8,44,0,1.08,0.66,1.74,0.92,1.58
Wolves,32,26.7,49.9,38,418,"3,420",38,28,12,40,25,3,3,85,6,0.74,0.32,1.05,0.66,0.97
