,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,25,58.2,38,418,"3,420",38,86,62,148,76,10,10,64,2,2.26,1.63,3.89,2,3.63
Aston Villa,31,26.9,53.1,38,418,"3,420",38,72,55,127,68,4,4,94,2,1.89,1.45,3.34,1.79,3.24
Bournemouth,30,25.7,44.4,38,418,"3,420",38,52,39,91,50,2,3,79,3,1.37,1.03,2.39,1.32,2.34
Brentford,28,26.6,45.2,38,418,"3,420",38,54,38,92,51,3,3,89,2,1.42,1,2.42,1.34,2.34
Brighton,30,25.9,59.8,38,418,"3,420",38,50,36,86,45,5,6,90,3,1.32,0.95,2.26,1.18,2.13
Burnley,31,24.5,47.4,38,418,"3,420",38,40,30,70,37,3,3,77,7,1.05,0.79,1.84,0.97,1.76
Chelsea,32,24.2,58.6,38,418,"3,420",38,76,51,127,65,11,12,109,4,2,1.34,3.34,1.71,3.05
Crystal Palace,26,26.8,42.3,38,418,"3,420",38,56,43,99,52,4,4,73,2,1.47,1.13,2.61,1.37,2.5
Everton,26,27.1,40.8,38,418,"3,420",38,40,17,57,38,2,3,82,1,1.05,0.45,1.5,1,1.45
Fulham,25,28.4,50.6,38,418,"3,420",38,54,40,94,52,2,2,84,4,1.42,1.05,2.47,1.37,2.42
Liverpool,30,26.3,61.3,38,418,"3,420",38,80,60,140,74,6,9,69,5,2.11,1.58,3.68,1.95,3.53
Luton Town,28,26.7,42.4,38,418,"3,420",38,49,33,82,44,5,5,71,0,1.29,0.87,2.16,1.16,2.03
Manchester City,25,26.6,65.2,38,418,"3,420",38,94,69,163,85,9,10,53,2,2.47,1.82,4.29,2.24,4.05
Manchester Utd,31,26.1,50.6,38,418,"3,420",38,57,36,93,51,6,7,83,1,1.5,0.95,2.45,1.34,2.29
Newcastle United,32,27.2,52.2,38,418,"3,420",38,83,55,138,75,8,9,79,1,2.18,1.45,3.63,1.97,3.42
Nottingham Forest,33,25.7,40.6,38,418,"3,420",38,49,43,92,48,1,1,82,3,1.29,1.13,2.42,1.26,2.39
Sheffield United,35,25.7,35.8,38,418,"3,420",38,31,18,49,26,5,5,101,5,0.82,0.47,1.29,0.68,1.16
Tottenham Hotspur,29,25.2,61.6,38,418,"3,420",38,69,58,127,67,2,2,92,4,1.82,1.53,3.34,1.76,3.29
West Ham United,26,28.3,41.1,38,418,"3,420",38,58,40,98,54,4,5,82,3,1.53,1.05,2.58,1.42,2.47
Wolves,27,26.6,48.9,38,418,"3,420",38,47,36,83,43,4,4,102,4,1.24,0.95,2.18,1.13,2.08
