Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,14,3,0,0.824,490,320,170,10,-4.5,5.5,3.7,1.8
Buffalo Bills+,12,5,0,0.706,481,365,116,6.8,-2.3,4.5,4.9,-0.4
Miami Dolphins,7,10,0,0.412,347,424,-77,-4.5,-1.8,-6.3,-3.8,-2.5
New York Jets,3,14,0,0.176,300,503,-203,-11.9,-0.6,-12.5,-6,-6.5
Pittsburgh Steelers*,10,7,0,0.588,397,387,10,0.6,-0.5,0.1,-0.3,0.4
Baltimore Ravens,8,9,0,0.471,424,398,26,1.5,-0.4,1.1,1.8,-0.7
Cincinnati Bengals,6,11,0,0.353,414,492,-78,-4.6,-0.5,-5.1,1.2,-6.4
Cleveland Browns,5,12,0,0.294,279,379,-100,-5.9,-1.5,-7.4,-8,0.6
Jacksonville Jaguars*,13,4,0,0.765,474,336,138,8.1,0.6,8.7,5.4,3.4
Houston Texans+,12,5,0,0.706,404,295,109,6.4,2.2,8.6,1.3,7.2
Indianapolis Colts,8,9,0,0.471,466,412,54,3.2,1.8,5,5.9,-1
Tennessee Titans,3,14,0,0.176,284,478,-194,-11.4,3.4,-8,-4.1,-3.9
Denver Broncos*,14,3,0,0.824,401,311,90,5.3,-1.8,3.5,-0.1,3.5
Los Angeles Chargers+,11,6,0,0.647,368,340,28,1.6,-0.8,0.8,-1,1.8
Kansas City Chiefs,6,11,0,0.353,362,328,34,2,-0.1,1.9,-1.9,3.8
Las Vegas Raiders,3,14,0,0.176,241,432,-191,-11.2,0.7,-10.5,-8.1,-2.4
Philadelphia Eagles*,11,6,0,0.647,379,325,54,3.2,-0.4,2.8,-1.8,4.5
Dallas Cowboys,7,9,1,0.441,471,511,-40,-2.4,-1.8,-4.1,4.6,-8.7
Washington Commanders,5,12,0,0.294,356,451,-95,-5.6,-0.1,-5.7,-2.1,-3.6
New York Giants,4,13,0,0.235,381,439,-58,-3.4,-0.2,-3.6,-0.6,-3
Chicago Bears*,11,6,0,0.647,441,415,26,1.5,-1.1,0.5,2.6,-2.1
Green Bay Packers+,9,7,1,0.559,391,360,31,1.8,-0.8,1,-0.8,1.7
Minnesota Vikings,9,8,0,0.529,344,333,11,0.6,0.1,0.7,-3.4,4.2
Detroit Lions,9,8,0,0.529,481,413,68,4,-0.1,3.9,5.2,-1.3
Carolina Panthers*,8,9,0,0.471,311,380,-69,-4.1,0.5,-3.6,-4.9,1.4
Tampa Bay Buccaneers,8,9,0,0.471,380,411,-31,-1.8,0.8,-1.1,0.3,-1.3
Atlanta Falcons,8,9,0,0.471,353,401,-48,-2.8,0.1,-2.8,-2,-0.7
New Orleans Saints,6,11,0,0.353,306,383,-77,-4.5,-0.3,-4.9,-5.5,0.6
Seattle Seahawks*,14,3,0,0.824,483,292,191,11.2,1.6,12.8,6.2,6.7
Los Angeles Rams+,12,5,0,0.706,518,346,172,10.1,2.4,12.5,8.7,3.9
San Francisco 49ers+,12,5,0,0.706,437,371,66,3.9,2.1,6,3.7,2.3
Arizona Cardinals,3,14,0,0.176,355,488,-133,-7.8,3.4,-4.4,-1,-3.4
